GEO.id,GEO.id2,GEO.display-label,B21001_001E,B21001_001M,B21001_002E,B21001_002M,B21001_003E,B21001_003M,B21001_004E,B21001_004M,B21001_005E,B21001_005M,B21001_006E,B21001_006M,B21001_007E,B21001_007M,B21001_008E,B21001_008M,B21001_009E,B21001_009M,B21001_010E,B21001_010M,B21001_011E,B21001_011M,B21001_012E,B21001_012M,B21001_013E,B21001_013M,B21001_014E,B21001_014M,B21001_015E,B21001_015M,B21001_016E,B21001_016M,B21001_017E,B21001_017M,B21001_018E,B21001_018M,B21001_019E,B21001_019M,B21001_020E,B21001_020M,B21001_021E,B21001_021M,B21001_022E,B21001_022M,B21001_023E,B21001_023M,B21001_024E,B21001_024M,B21001_025E,B21001_025M,B21001_026E,B21001_026M,B21001_027E,B21001_027M,B21001_028E,B21001_028M,B21001_029E,B21001_029M,B21001_030E,B21001_030M,B21001_031E,B21001_031M,B21001_032E,B21001_032M,B21001_033E,B21001_033M,B21001_034E,B21001_034M,B21001_035E,B21001_035M,B21001_036E,B21001_036M,B21001_037E,B21001_037M,B21001_038E,B21001_038M,B21001_039E,B21001_039M
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",16527,296,1060,230,15467,360,7770,277,1060,230,6710,355,1487,208,113,99,1374,237,2709,287,117,68,2592,289,1636,268,70,60,1566,273,1217,188,314,129,903,197,721,173,446,132,275,146,8757,347,0,23,8757,347,1613,225,0,23,1613,225,3038,201,0,23,3038,201,1679,222,0,23,1679,222,1157,191,0,23,1157,191,1270,232,0,23,1270,232
0600000US0901106820,0901106820,"Bozrah town, New London County, Connecticut",2134,84,215,44,1919,82,1041,69,208,43,833,67,224,56,11,12,213,57,335,53,33,20,302,53,209,54,11,12,198,53,171,36,86,31,85,29,102,36,67,26,35,30,1093,66,7,9,1086,67,262,57,0,12,262,57,360,57,0,12,360,57,226,45,0,12,226,45,117,37,7,9,110,38,128,35,0,12,128,35
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",1227,118,90,27,1137,112,631,77,90,27,541,77,127,38,9,9,118,37,224,47,18,12,206,44,197,45,20,12,177,45,70,21,37,16,33,16,13,11,6,6,7,8,596,69,0,12,596,69,138,38,0,12,138,38,240,46,0,12,240,46,151,38,0,12,151,38,45,20,0,12,45,20,22,12,0,12,22,12
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",2267,243,164,61,2103,229,1063,177,159,61,904,179,205,172,0,12,205,172,272,70,0,12,272,70,325,92,52,34,273,86,157,59,28,33,129,53,104,59,79,52,25,25,1204,174,5,9,1199,173,138,71,0,12,138,71,326,69,0,12,326,69,282,85,0,12,282,85,232,70,5,9,227,69,226,80,0,12,226,80
0600000US0901559980,0901559980,"Plainfield town, Windham County, Connecticut",11975,252,1215,232,10760,338,5746,293,1160,228,4586,315,1662,243,35,44,1627,240,1971,218,319,133,1652,239,1096,175,265,108,831,152,692,160,382,144,310,99,325,111,159,90,166,90,6229,287,55,53,6174,294,1526,201,0,19,1526,201,1965,237,10,16,1955,237,1079,201,0,19,1079,201,885,153,23,36,862,158,774,171,22,34,752,173
0600000US0901134250,0901134250,"Groton town, New London County, Connecticut",27066,509,3162,305,23904,496,12495,475,2817,303,9678,472,4301,504,448,155,3853,487,3825,330,870,157,2955,301,2034,203,465,117,1569,186,1343,197,477,105,866,154,992,133,557,118,435,110,14571,386,345,126,14226,390,4432,346,116,93,4316,338,4705,336,166,73,4539,330,2299,245,41,32,2258,250,1704,183,2,3,1702,183,1431,161,20,17,1411,158
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",26637,341,1431,187,25206,374,12909,422,1333,173,11576,451,2605,304,58,41,2547,298,5159,415,139,73,5020,419,2445,220,141,66,2304,214,1634,179,460,111,1174,176,1066,173,535,144,531,126,13728,372,98,61,13630,376,2172,316,0,26,2172,316,5298,233,82,58,5216,241,2953,227,0,26,2953,227,1712,173,0,26,1712,173,1593,253,16,16,1577,256
0600000US0901385950,0901385950,"Willington town, Tolland County, Connecticut",5160,236,392,146,4768,267,2823,322,392,146,2431,373,1311,350,48,41,1263,350,614,168,76,82,538,164,533,152,99,78,434,135,287,93,109,62,178,78,78,59,60,55,18,29,2337,321,0,17,2337,321,906,283,0,17,906,283,529,154,0,17,529,154,512,144,0,17,512,144,221,80,0,17,221,80,169,106,0,17,169,106
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",1231,109,93,29,1138,105,644,82,93,29,551,86,93,38,0,12,93,38,190,49,10,8,180,48,155,32,15,14,140,34,100,25,16,12,84,26,106,29,52,19,54,22,587,57,0,12,587,57,43,25,0,12,43,25,178,36,0,12,178,36,130,26,0,12,130,26,136,29,0,12,136,29,100,29,0,12,100,29
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",18677,277,1225,172,17452,338,9053,305,1135,162,7918,340,1717,209,43,32,1674,207,3485,225,214,90,3271,234,1890,360,113,53,1777,359,1332,170,439,107,893,154,629,121,326,88,303,87,9624,273,90,50,9534,278,1594,224,20,20,1574,222,3904,223,31,38,3873,217,1868,197,15,19,1853,195,1275,137,12,18,1263,140,983,142,12,16,971,141
