GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
0400000US09,09,Connecticut,2729281,507,235132,2623,2494149,2698,1303507,532,223244,2418,1080263,2502,367817,542,10542,651,357275,779,518574,425,44684,1378,473890,1418,208094,208,54798,1269,153296,1285,114038,214,49472,1027,64566,1009,94984,157,63748,707,31236,745,1425774,375,11888,804,1413886,823,364654,386,1363,285,363291,474,546348,241,5164,487,541184,493,224320,155,2125,293,222195,329,133961,191,829,205,133132,304,156491,158,2407,336,154084,343
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",14104,300,1165,204,12939,336,6839,233,1142,202,5697,253,1617,221,21,23,1596,220,2872,194,149,77,2723,196,1173,183,334,100,839,165,609,150,292,122,317,102,568,126,346,93,222,111,7265,216,23,27,7242,216,1692,216,0,92,1692,216,3155,214,22,25,3133,212,1164,177,0,92,1164,177,641,103,0,92,641,103,613,128,1,9,612,128
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",105722,770,4801,443,100921,902,50040,973,4538,444,45502,1026,19963,944,354,151,19609,955,18663,710,977,197,17686,697,5781,473,971,210,4810,424,3298,347,1071,242,2227,313,2335,249,1165,158,1170,216,55682,774,263,92,55419,773,19018,765,70,57,18948,762,20596,774,121,50,20475,776,7100,499,43,46,7057,493,4313,367,0,92,4313,367,4655,443,29,33,4626,444
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",12616,175,870,142,11746,232,5984,250,853,137,5131,261,1459,231,22,28,1437,232,2389,225,142,81,2247,211,1218,175,276,92,942,156,670,114,273,81,397,102,248,74,140,59,108,60,6632,265,17,25,6615,264,1521,217,0,92,1521,217,2655,193,0,92,2655,193,1118,175,0,92,1118,175,766,102,0,92,766,102,572,144,17,25,555,148
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",62993,665,3693,349,59300,696,30296,931,3479,353,26817,959,10347,803,235,118,10112,799,12189,739,588,162,11601,749,4116,409,898,208,3218,367,2078,259,767,164,1311,231,1566,211,991,159,575,153,32697,734,214,84,32483,756,10834,692,10,18,10824,689,11587,601,80,58,11507,621,4868,423,35,39,4833,421,2515,297,10,17,2505,296,2893,283,79,54,2814,287
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",12970,230,747,119,12223,239,5976,189,712,119,5264,196,787,142,19,28,768,138,3287,173,32,27,3255,175,889,144,120,70,769,132,534,111,201,61,333,99,479,87,340,75,139,57,6994,174,35,29,6959,175,850,133,0,92,850,133,3747,148,0,92,3747,148,997,150,0,92,997,150,602,90,0,92,602,90,798,131,35,29,763,125
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",5258,132,339,99,4919,156,2528,129,306,95,2222,148,306,72,0,92,306,72,1207,102,34,32,1173,105,502,100,49,36,453,98,346,88,152,63,194,79,167,55,71,43,96,51,2730,122,33,32,2697,122,341,88,22,27,319,87,1321,96,0,92,1321,96,533,97,11,18,522,97,290,88,0,92,290,88,245,80,0,92,245,80
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",43980,415,3209,252,40771,468,20448,465,3200,250,17248,462,5062,367,60,37,5002,366,8656,345,380,92,8276,338,3208,264,666,129,2542,271,1653,198,794,133,859,159,1869,204,1300,173,569,115,23532,506,9,15,23523,505,5993,556,0,92,5993,556,9246,358,0,92,9246,358,3105,286,0,92,3105,286,2248,225,0,92,2248,225,2940,273,9,15,2931,272
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",44365,466,3312,270,41053,462,20779,472,3209,256,17570,461,3783,401,83,60,3700,397,9379,437,406,162,8973,438,3615,303,597,122,3018,309,2050,235,739,123,1311,230,1952,212,1384,158,568,138,23586,435,103,57,23483,435,3750,395,29,31,3721,385,10426,388,45,55,10381,392,3786,305,13,21,3773,305,2757,263,0,92,2757,263,2867,281,16,19,2851,282
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",14076,232,1005,185,13071,297,6527,233,978,181,5549,265,1162,210,18,28,1144,205,2991,185,141,77,2850,191,1436,167,314,119,1122,171,544,153,234,101,310,107,394,123,271,101,123,61,7549,283,27,33,7522,293,1497,288,0,92,1497,288,3253,215,27,33,3226,214,1305,191,0,92,1305,191,722,110,0,92,722,110,772,175,0,92,772,175
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",13315,274,1006,141,12309,283,6136,256,996,139,5140,264,793,197,0,92,793,197,2941,217,89,48,2852,220,1136,153,187,82,949,146,710,126,332,89,378,106,556,122,388,106,168,74,7179,211,10,18,7169,211,869,183,0,92,869,183,3600,198,10,18,3590,203,1280,165,0,92,1280,165,562,134,0,92,562,134,868,144,0,92,868,144
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",10004,180,790,142,9214,197,4836,189,767,135,4069,170,961,158,35,33,926,151,2323,171,51,36,2272,173,785,154,247,97,538,146,460,83,222,52,238,75,307,95,212,90,95,47,5168,187,23,25,5145,189,899,159,0,92,899,159,2621,168,11,17,2610,169,766,139,12,18,754,140,407,74,0,92,407,74,475,128,0,92,475,128
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",19584,303,1921,248,17663,355,9731,407,1862,253,7869,437,1841,306,34,36,1807,308,4526,309,503,151,4023,277,1885,219,374,111,1511,198,862,134,458,106,404,107,617,126,493,118,124,55,9853,372,59,47,9794,368,1517,228,0,92,1517,228,4701,244,0,92,4701,244,1765,197,12,20,1753,197,999,169,17,22,982,170,871,172,30,35,841,173
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",68366,659,3913,381,64453,710,32632,721,3821,367,28811,773,8721,691,166,102,8555,704,13702,649,451,117,13251,678,5304,426,1122,224,4182,416,2708,279,778,156,1930,257,2197,224,1304,195,893,157,35734,614,92,53,35642,618,8788,515,22,26,8766,517,14060,554,40,38,14020,551,6143,387,1,3,6142,387,3137,292,0,92,3137,292,3606,328,29,34,3577,332
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",6720,170,589,118,6131,176,3223,233,574,118,2649,229,446,146,6,13,440,149,1281,139,50,39,1231,139,755,130,158,79,597,118,386,130,97,43,289,122,355,88,263,77,92,50,3497,175,15,25,3482,177,360,117,0,92,360,117,1579,162,15,25,1564,162,649,135,0,92,649,135,420,103,0,92,420,103,489,116,0,92,489,116
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",17114,296,1187,157,15927,321,8207,253,1165,153,7042,243,1266,216,26,30,1240,215,4000,206,92,46,3908,210,1569,175,255,82,1314,169,665,118,297,91,368,91,707,144,495,132,212,87,8907,265,22,26,8885,268,1317,177,0,92,1317,177,4349,189,7,12,4342,191,1427,174,0,92,1427,174,805,155,0,92,805,155,1009,173,15,24,994,174
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",31098,336,3016,304,28082,399,14878,378,2939,306,11939,373,3501,354,161,89,3340,335,5782,305,413,120,5369,287,2673,245,599,146,2074,246,1742,213,872,166,870,172,1180,175,894,159,286,92,16220,330,77,55,16143,337,3388,334,0,92,3388,334,6119,317,9,14,6110,318,2627,265,0,92,2627,265,1969,222,0,92,1969,222,2117,244,68,51,2049,242
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",2688,111,323,82,2365,137,1298,115,303,76,995,130,143,60,0,92,143,60,520,113,22,23,498,109,353,88,139,73,214,73,201,64,79,40,122,59,81,46,63,40,18,20,1390,93,20,23,1370,89,178,71,9,14,169,70,609,68,0,92,609,68,264,68,0,92,264,68,244,68,0,92,244,68,95,49,11,18,84,38
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",95037,868,4245,343,90792,924,47113,926,4113,345,43000,956,17338,1002,253,128,17085,1001,18413,753,407,136,18006,737,5487,414,764,163,4723,401,3103,347,939,210,2164,287,2772,241,1750,200,1022,185,47924,949,132,72,47792,965,14328,760,21,35,14307,759,17908,546,74,60,17834,543,6743,512,0,92,6743,512,3701,331,10,16,3691,331,5244,347,27,23,5217,351
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",40115,422,4092,317,36023,510,18897,423,3863,313,15034,539,4895,461,20,26,4875,463,7421,352,643,182,6778,351,2783,270,816,167,1967,229,1905,218,1077,160,828,187,1893,224,1307,185,586,140,21218,426,229,102,20989,434,4821,457,0,92,4821,457,7914,408,60,56,7854,408,3455,303,39,42,3416,300,2310,256,41,39,2269,258,2718,286,89,62,2629,261
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",26514,282,2275,235,24239,383,12318,297,2220,226,10098,370,2259,289,5,10,2254,290,5434,293,300,108,5134,293,1827,208,361,109,1466,201,1308,205,472,130,836,153,1490,194,1082,172,408,115,14196,353,55,45,14141,345,2535,305,0,92,2535,305,5872,271,13,21,5859,268,1883,209,0,92,1883,209,1689,202,0,92,1689,202,2217,235,42,40,2175,226
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",6665,169,541,107,6124,157,3287,140,541,107,2746,150,372,99,12,17,360,99,1714,114,103,77,1611,104,632,91,111,47,521,89,301,65,123,52,178,60,268,70,192,63,76,41,3378,144,0,92,3378,144,406,109,0,92,406,109,1797,104,0,92,1797,104,618,97,0,92,618,97,367,79,0,92,367,79,190,56,0,92,190,56
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",18460,298,1374,173,17086,284,8721,266,1363,175,7358,265,1015,180,7,12,1008,182,3833,258,35,29,3798,260,1832,236,159,94,1673,215,986,153,381,109,605,116,1055,160,781,146,274,90,9739,249,11,17,9728,251,1201,252,0,92,1201,252,4670,243,0,92,4670,243,1696,218,0,92,1696,218,1065,154,0,92,1065,154,1107,162,11,17,1096,163
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",12231,201,791,133,11440,222,5721,209,775,134,4946,208,728,136,0,92,728,136,2639,153,108,63,2531,152,1332,151,183,73,1149,144,571,105,245,68,326,97,451,96,239,76,212,75,6510,178,16,25,6494,175,807,135,0,92,807,135,3224,145,0,92,3224,145,1065,146,0,92,1065,146,597,97,0,92,597,97,817,183,16,25,801,180
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",13112,231,1388,213,11724,302,6318,239,1327,199,4991,280,1186,200,0,92,1186,200,2600,210,167,71,2433,215,1192,150,286,104,906,139,644,117,342,97,302,80,696,155,532,146,164,72,6794,211,61,55,6733,211,1044,161,0,92,1044,161,3044,185,50,52,2994,189,1194,151,0,92,1194,151,731,132,0,92,731,132,781,165,11,17,770,162
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",15369,248,1273,203,14096,319,7423,283,1215,202,6208,311,1454,233,43,42,1411,230,3165,228,165,104,3000,219,1476,197,302,105,1174,177,673,160,296,91,377,123,655,137,409,109,246,117,7946,208,58,49,7888,207,1452,216,0,92,1452,216,3138,220,0,92,3138,220,1466,192,30,34,1436,195,841,150,15,24,826,146,1049,157,13,21,1036,154
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",17012,280,1565,218,15447,300,7330,373,1490,221,5840,406,1776,374,14,24,1762,376,2386,294,245,109,2141,270,1265,149,189,86,1076,152,996,135,465,125,531,131,907,143,577,110,330,110,9682,396,75,41,9607,402,1957,251,0,92,1957,251,3267,313,34,32,3233,315,1712,188,7,13,1705,187,1169,173,0,92,1169,173,1577,173,34,23,1543,173
